checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target
<0 DM,60,gecmiste gecikme,is,6836,<100 DM,>=7 yil,3,A93,A101,4,A124,63,A143,kendi evi,2,vasifli,1,A192,A201,1
0-200 DM,18,simdiye odendi,is,1913,>=1000 DM,<1 yil,3,A94,A101,3,A121,36,A141,kendi evi,1,vasifli,1,A192,A201,0
<0 DM,24,simdiye odendi,mobilya,4020,<100 DM,1-4 yil,2,A93,A101,2,A123,27,A142,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,18,simdiye odendi,araba(yeni),5866,100-500 DM,1-4 yil,2,A93,A101,2,A123,30,A143,kendi evi,2,vasifli,1,A192,A201,0
hesap yok,12,kritik hesap,is,1264,bilinmiyor,>=7 yil,4,A93,A101,4,A124,57,A143,kira,1,vasifsiz-yerlesik,1,A191,A201,0
>=200 DM,12,simdiye odendi,mobilya,1474,<100 DM,<1 yil,4,A92,A101,1,A122,33,A141,kendi evi,1,yonetici/uzman,1,A192,A201,0
0-200 DM,45,kritik hesap,radyo/TV,4746,<100 DM,<1 yil,4,A93,A101,2,A122,25,A143,kendi evi,2,vasifsiz-yerlesik,1,A191,A201,1
hesap yok,48,kritik hesap,egitim,6110,<100 DM,1-4 yil,1,A93,A101,3,A124,31,A141,ucretsiz,1,vasifli,1,A192,A201,0
>=200 DM,18,simdiye odendi,radyo/TV,2100,<100 DM,1-4 yil,4,A93,A102,2,A121,37,A142,kendi evi,1,vasifli,1,A191,A201,1
>=200 DM,10,simdiye odendi,ev aleti,1225,<100 DM,1-4 yil,2,A93,A101,2,A123,37,A143,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,9,simdiye odendi,radyo/TV,458,<100 DM,1-4 yil,4,A93,A101,3,A121,24,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,30,simdiye odendi,radyo/TV,2333,500-1000 DM,>=7 yil,4,A93,A101,2,A123,30,A141,kendi evi,1,yonetici/uzman,1,A191,A201,0
0-200 DM,12,simdiye odendi,radyo/TV,1158,500-1000 DM,1-4 yil,3,A91,A101,1,A123,26,A143,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,18,gecmiste gecikme,tamirat,6204,<100 DM,1-4 yil,2,A93,A101,4,A121,44,A143,kendi evi,1,vasifsiz-yerlesik,2,A192,A201,0
<0 DM,30,kritik hesap,araba(eski),6187,100-500 DM,4-7 yil,1,A94,A101,4,A123,24,A143,kira,2,vasifli,1,A191,A201,0
<0 DM,48,kritik hesap,araba(eski),6143,<100 DM,>=7 yil,4,A92,A101,4,A124,58,A142,ucretsiz,2,vasifsiz-yerlesik,1,A191,A201,1
hesap yok,11,kritik hesap,araba(yeni),1393,<100 DM,<1 yil,4,A92,A101,4,A123,35,A143,kendi evi,2,yonetici/uzman,1,A191,A201,0
hesap yok,36,simdiye odendi,radyo/TV,2299,500-1000 DM,>=7 yil,4,A93,A101,4,A123,39,A143,kendi evi,1,vasifli,1,A191,A201,0
<0 DM,6,simdiye odendi,araba(eski),1352,500-1000 DM,issiz,1,A92,A101,2,A122,23,A143,kira,1,issiz/vasifsiz,1,A192,A201,0
hesap yok,11,kritik hesap,araba(yeni),7228,<100 DM,1-4 yil,1,A93,A101,4,A122,39,A143,kendi evi,2,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,12,simdiye odendi,radyo/TV,2073,100-500 DM,1-4 yil,4,A92,A102,2,A121,28,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,24,gecmiste gecikme,mobilya,2333,bilinmiyor,<1 yil,4,A93,A101,2,A122,29,A141,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,27,gecmiste gecikme,araba(eski),5965,<100 DM,>=7 yil,1,A93,A101,2,A123,30,A143,kendi evi,2,yonetici/uzman,1,A192,A201,0
hesap yok,12,simdiye odendi,radyo/TV,1262,<100 DM,1-4 yil,3,A93,A101,2,A123,25,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,18,simdiye odendi,araba(eski),3378,bilinmiyor,1-4 yil,2,A93,A101,1,A122,31,A143,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,36,gecmiste gecikme,araba(yeni),2225,<100 DM,>=7 yil,4,A93,A101,4,A124,57,A141,ucretsiz,2,vasifli,1,A192,A201,1
hesap yok,6,bu bankada odendi,araba(yeni),783,bilinmiyor,1-4 yil,1,A93,A103,2,A121,26,A142,kendi evi,1,vasifsiz-yerlesik,2,A191,A201,0
0-200 DM,12,simdiye odendi,radyo/TV,6468,bilinmiyor,issiz,2,A93,A101,1,A124,52,A143,kendi evi,1,yonetici/uzman,1,A192,A201,1
hesap yok,36,kritik hesap,radyo/TV,9566,<100 DM,1-4 yil,2,A92,A101,2,A123,31,A142,kendi evi,2,vasifli,1,A191,A201,0
>=200 DM,18,simdiye odendi,araba(yeni),1961,<100 DM,>=7 yil,3,A92,A101,2,A123,23,A143,kendi evi,1,yonetici/uzman,1,A191,A201,0
<0 DM,36,kritik hesap,mobilya,6229,<100 DM,<1 yil,4,A92,A102,4,A124,23,A143,kira,2,vasifsiz-yerlesik,1,A192,A201,1
0-200 DM,9,simdiye odendi,is,1391,<100 DM,1-4 yil,2,A94,A101,1,A121,27,A141,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,15,kritik hesap,radyo/TV,1537,bilinmiyor,>=7 yil,4,A93,A103,4,A121,50,A143,kendi evi,2,vasifli,1,A192,A201,0
0-200 DM,36,kredi yok/hepsi odendi,is,1953,<100 DM,>=7 yil,4,A93,A101,4,A124,61,A143,ucretsiz,1,yonetici/uzman,1,A192,A201,1
0-200 DM,48,kredi yok/hepsi odendi,is,14421,<100 DM,1-4 yil,2,A93,A101,2,A123,25,A143,kendi evi,1,vasifli,1,A192,A201,1
hesap yok,24,simdiye odendi,radyo/TV,3181,<100 DM,<1 yil,4,A92,A101,4,A122,26,A143,kendi evi,1,vasifli,1,A192,A201,0
hesap yok,27,simdiye odendi,tamirat,5190,bilinmiyor,>=7 yil,4,A93,A101,4,A122,48,A143,kendi evi,4,vasifli,2,A192,A201,0
hesap yok,12,simdiye odendi,radyo/TV,2171,<100 DM,<1 yil,2,A92,A101,2,A123,29,A141,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,12,simdiye odendi,araba(yeni),1007,>=1000 DM,1-4 yil,4,A94,A101,1,A121,22,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,36,simdiye odendi,egitim,1819,<100 DM,1-4 yil,4,A93,A101,4,A124,37,A142,ucretsiz,1,vasifli,1,A192,A201,1
hesap yok,36,simdiye odendi,radyo/TV,2394,bilinmiyor,1-4 yil,4,A92,A101,4,A123,25,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,36,simdiye odendi,araba(eski),8133,<100 DM,1-4 yil,1,A92,A101,2,A122,30,A141,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,7,kritik hesap,radyo/TV,730,bilinmiyor,>=7 yil,4,A93,A101,2,A122,46,A143,kira,2,vasifsiz-yerlesik,1,A192,A201,0
<0 DM,8,kritik hesap,diger,1164,<100 DM,>=7 yil,3,A93,A101,4,A124,51,A141,ucretsiz,2,yonetici/uzman,2,A192,A201,0
0-200 DM,42,kritik hesap,is,5954,<100 DM,4-7 yil,2,A92,A101,1,A121,41,A141,kendi evi,2,vasifsiz-yerlesik,1,A191,A201,0
<0 DM,36,simdiye odendi,egitim,1977,bilinmiyor,>=7 yil,4,A93,A101,4,A124,40,A143,kendi evi,1,yonetici/uzman,1,A192,A201,1
<0 DM,12,kritik hesap,araba(eski),1526,<100 DM,>=7 yil,4,A93,A101,4,A124,66,A143,ucretsiz,2,yonetici/uzman,1,A191,A201,0
<0 DM,42,simdiye odendi,radyo/TV,3965,<100 DM,<1 yil,4,A93,A101,3,A123,34,A143,kendi evi,1,vasifli,1,A191,A201,1
0-200 DM,11,gecmiste gecikme,radyo/TV,4771,<100 DM,4-7 yil,2,A93,A101,4,A122,51,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,54,kredi yok/hepsi odendi,araba(eski),9436,bilinmiyor,1-4 yil,2,A93,A101,2,A122,39,A143,kendi evi,1,vasifsiz-yerlesik,2,A191,A201,0
0-200 DM,30,simdiye odendi,mobilya,3832,<100 DM,<1 yil,2,A94,A101,1,A122,22,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,24,simdiye odendi,radyo/TV,5943,bilinmiyor,<1 yil,1,A92,A101,1,A123,44,A143,kendi evi,2,vasifli,1,A192,A201,1
hesap yok,15,simdiye odendi,radyo/TV,1213,500-1000 DM,>=7 yil,4,A93,A101,3,A122,47,A142,kendi evi,1,vasifli,1,A192,A201,0
hesap yok,18,simdiye odendi,is,1568,100-500 DM,1-4 yil,3,A92,A101,4,A122,24,A143,kira,1,vasifsiz-yerlesik,1,A191,A201,0
<0 DM,24,simdiye odendi,diger,1755,<100 DM,>=7 yil,4,A92,A103,4,A121,58,A143,kendi evi,1,vasifsiz-yerlesik,1,A192,A201,0
<0 DM,10,simdiye odendi,radyo/TV,2315,<100 DM,>=7 yil,3,A93,A101,4,A121,52,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,12,kritik hesap,is,1412,<100 DM,1-4 yil,4,A92,A103,2,A121,29,A143,kendi evi,2,yonetici/uzman,1,A192,A201,0
0-200 DM,18,kritik hesap,mobilya,1295,<100 DM,<1 yil,4,A92,A101,1,A122,27,A143,kendi evi,2,vasifli,1,A191,A201,0
0-200 DM,36,simdiye odendi,egitim,12612,100-500 DM,1-4 yil,1,A93,A101,4,A124,47,A143,ucretsiz,1,vasifli,2,A192,A201,1
<0 DM,18,simdiye odendi,araba(yeni),2249,100-500 DM,4-7 yil,4,A93,A101,3,A123,30,A143,kendi evi,1,yonetici/uzman,2,A192,A201,0
<0 DM,12,kredi yok/hepsi odendi,tamirat,1108,<100 DM,4-7 yil,4,A93,A101,3,A121,28,A143,kendi evi,2,vasifli,1,A191,A201,1
hesap yok,12,kritik hesap,radyo/TV,618,<100 DM,>=7 yil,4,A93,A101,4,A121,56,A143,kendi evi,1,vasifli,1,A191,A201,0
<0 DM,12,kritik hesap,araba(eski),1409,<100 DM,>=7 yil,4,A93,A101,3,A121,54,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,12,kritik hesap,radyo/TV,797,bilinmiyor,>=7 yil,4,A92,A101,3,A122,33,A141,kendi evi,1,vasifsiz-yerlesik,2,A191,A201,1
>=200 DM,24,kritik hesap,mobilya,3617,bilinmiyor,>=7 yil,4,A93,A102,4,A124,20,A143,kira,2,vasifli,1,A191,A201,0
0-200 DM,12,simdiye odendi,araba(yeni),1318,>=1000 DM,>=7 yil,4,A93,A101,4,A121,54,A143,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,54,kredi yok/hepsi odendi,is,15945,<100 DM,<1 yil,3,A93,A101,4,A124,58,A143,kira,1,vasifli,1,A192,A201,1
hesap yok,12,kritik hesap,egitim,2012,bilinmiyor,4-7 yil,4,A92,A101,2,A123,61,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,18,simdiye odendi,is,2622,100-500 DM,1-4 yil,4,A93,A101,4,A123,34,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,36,kritik hesap,radyo/TV,2337,<100 DM,>=7 yil,4,A93,A101,4,A121,36,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,20,gecmiste gecikme,araba(eski),7057,bilinmiyor,4-7 yil,3,A93,A101,4,A122,36,A141,kira,2,yonetici/uzman,2,A192,A201,0
hesap yok,24,simdiye odendi,araba(yeni),1469,100-500 DM,>=7 yil,4,A94,A101,4,A121,41,A143,kira,1,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,36,simdiye odendi,radyo/TV,2323,<100 DM,4-7 yil,4,A93,A101,4,A123,24,A143,kira,1,vasifli,1,A191,A201,0
hesap yok,6,gecmiste gecikme,radyo/TV,932,<100 DM,1-4 yil,3,A92,A101,2,A121,24,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,9,kritik hesap,mobilya,1919,<100 DM,4-7 yil,4,A93,A101,3,A123,35,A143,kira,1,vasifli,1,A192,A201,0
hesap yok,12,simdiye odendi,araba(eski),2445,bilinmiyor,<1 yil,2,A94,A101,4,A123,26,A143,kira,1,vasifli,1,A192,A201,0
0-200 DM,24,kritik hesap,diger,11938,<100 DM,1-4 yil,2,A93,A102,3,A123,39,A143,kendi evi,2,yonetici/uzman,2,A192,A201,1
hesap yok,18,bu bankada odendi,araba(yeni),6458,<100 DM,>=7 yil,2,A93,A101,4,A124,39,A141,kendi evi,2,yonetici/uzman,2,A192,A201,1
0-200 DM,12,simdiye odendi,araba(yeni),6078,<100 DM,4-7 yil,2,A93,A101,2,A123,32,A143,kendi evi,1,vasifli,1,A191,A201,0
<0 DM,24,simdiye odendi,mobilya,7721,bilinmiyor,<1 yil,1,A92,A101,2,A122,30,A143,kendi evi,1,vasifli,1,A192,A202,0
0-200 DM,14,simdiye odendi,is,1410,500-1000 DM,>=7 yil,1,A94,A101,2,A121,35,A143,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,6,gecmiste gecikme,is,1449,100-500 DM,>=7 yil,1,A91,A101,2,A123,31,A141,kendi evi,2,vasifli,2,A191,A201,0
>=200 DM,15,simdiye odendi,egitim,392,<100 DM,<1 yil,4,A92,A101,4,A122,23,A143,kira,1,vasifli,1,A192,A201,0
0-200 DM,18,simdiye odendi,araba(yeni),6260,<100 DM,4-7 yil,3,A93,A101,3,A121,28,A143,kira,1,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,36,kritik hesap,araba(yeni),7855,<100 DM,1-4 yil,4,A92,A101,2,A121,25,A142,kendi evi,2,vasifli,1,A192,A201,1
<0 DM,12,simdiye odendi,radyo/TV,1680,500-1000 DM,>=7 yil,3,A94,A101,1,A121,35,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,48,kritik hesap,radyo/TV,3578,bilinmiyor,>=7 yil,4,A93,A101,1,A121,47,A143,kendi evi,1,vasifli,1,A192,A201,0
<0 DM,42,simdiye odendi,radyo/TV,7174,bilinmiyor,4-7 yil,4,A92,A101,3,A123,30,A143,kendi evi,1,yonetici/uzman,1,A192,A201,1
<0 DM,10,kritik hesap,mobilya,2132,bilinmiyor,<1 yil,2,A92,A102,3,A121,27,A143,kira,2,vasifli,1,A191,A202,0
<0 DM,33,kritik hesap,mobilya,4281,500-1000 DM,1-4 yil,1,A92,A101,4,A123,23,A143,kendi evi,2,vasifli,1,A191,A201,1
0-200 DM,12,kritik hesap,araba(yeni),2366,500-1000 DM,4-7 yil,3,A91,A101,3,A123,36,A143,kendi evi,1,yonetici/uzman,1,A192,A201,0
<0 DM,21,simdiye odendi,radyo/TV,1835,<100 DM,1-4 yil,3,A92,A101,2,A121,25,A143,kendi evi,2,vasifli,1,A192,A201,1
hesap yok,24,kritik hesap,araba(eski),3868,<100 DM,>=7 yil,4,A92,A101,2,A123,41,A143,kira,2,yonetici/uzman,1,A192,A201,0
hesap yok,12,simdiye odendi,mobilya,1768,<100 DM,1-4 yil,3,A93,A101,2,A121,24,A143,kira,1,vasifsiz-yerlesik,1,A191,A201,0
>=200 DM,10,kritik hesap,araba(yeni),781,<100 DM,>=7 yil,4,A93,A101,4,A124,63,A143,ucretsiz,2,vasifli,1,A192,A201,0
0-200 DM,18,simdiye odendi,mobilya,1924,bilinmiyor,<1 yil,4,A92,A101,3,A121,27,A143,kira,1,vasifli,1,A191,A201,1
<0 DM,12,kritik hesap,araba(yeni),2121,<100 DM,1-4 yil,4,A93,A101,2,A122,30,A143,kendi evi,2,vasifli,1,A191,A201,0
<0 DM,12,simdiye odendi,radyo/TV,701,<100 DM,1-4 yil,4,A94,A101,2,A121,40,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,12,simdiye odendi,tamirat,639,<100 DM,1-4 yil,4,A93,A101,2,A123,30,A143,kendi evi,1,vasifli,1,A191,A201,1
0-200 DM,12,kritik hesap,araba(eski),1860,<100 DM,issiz,4,A93,A101,2,A123,34,A143,kendi evi,2,yonetici/uzman,1,A192,A201,0
<0 DM,12,kritik hesap,araba(yeni),3499,<100 DM,1-4 yil,3,A92,A102,2,A121,29,A143,kendi evi,2,vasifli,1,A191,A201,1
0-200 DM,48,simdiye odendi,araba(yeni),8487,bilinmiyor,4-7 yil,1,A92,A101,2,A123,24,A143,kendi evi,1,vasifli,1,A191,A201,0
<0 DM,36,gecmiste gecikme,egitim,6887,<100 DM,1-4 yil,4,A93,A101,3,A122,29,A142,kendi evi,1,vasifli,1,A192,A201,1
hesap yok,15,simdiye odendi,mobilya,2708,<100 DM,<1 yil,2,A93,A101,3,A122,27,A141,kendi evi,2,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,18,simdiye odendi,mobilya,1984,<100 DM,1-4 yil,4,A93,A101,4,A124,47,A141,ucretsiz,2,vasifli,1,A191,A201,0
hesap yok,60,simdiye odendi,radyo/TV,10144,100-500 DM,4-7 yil,2,A92,A101,4,A121,21,A143,kendi evi,1,vasifli,1,A192,A201,0
hesap yok,12,kritik hesap,radyo/TV,1240,bilinmiyor,>=7 yil,4,A92,A101,2,A121,38,A143,kendi evi,2,vasifli,1,A192,A201,0
hesap yok,27,gecmiste gecikme,araba(eski),8613,>=1000 DM,1-4 yil,2,A93,A101,2,A123,27,A143,kendi evi,2,vasifli,1,A191,A201,0
0-200 DM,12,simdiye odendi,radyo/TV,766,500-1000 DM,1-4 yil,4,A93,A101,3,A121,66,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,1
0-200 DM,15,kritik hesap,radyo/TV,2728,bilinmiyor,4-7 yil,4,A93,A103,2,A121,35,A141,kendi evi,3,vasifli,1,A192,A201,0
>=200 DM,12,simdiye odendi,radyo/TV,1881,<100 DM,1-4 yil,2,A92,A101,2,A123,44,A143,kira,1,vasifsiz-yerlesik,1,A192,A201,0
>=200 DM,6,simdiye odendi,araba(yeni),709,>=1000 DM,<1 yil,2,A94,A101,2,A121,27,A143,kendi evi,1,issiz/vasifsiz,1,A191,A202,0
0-200 DM,36,simdiye odendi,radyo/TV,4795,<100 DM,<1 yil,4,A92,A101,1,A124,30,A143,kendi evi,1,yonetici/uzman,1,A192,A201,0
<0 DM,27,simdiye odendi,radyo/TV,3416,<100 DM,1-4 yil,3,A93,A101,2,A123,27,A143,kendi evi,1,yonetici/uzman,1,A191,A201,0
<0 DM,18,simdiye odendi,mobilya,2462,<100 DM,1-4 yil,2,A93,A101,2,A123,22,A143,kendi evi,1,vasifli,1,A191,A201,1
hesap yok,21,kritik hesap,mobilya,2288,<100 DM,<1 yil,4,A92,A101,4,A122,23,A143,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,48,bu bankada odendi,is,3566,100-500 DM,4-7 yil,4,A93,A101,2,A123,30,A143,kendi evi,1,vasifli,1,A191,A201,0
<0 DM,6,kritik hesap,araba(yeni),860,<100 DM,>=7 yil,1,A92,A101,4,A124,39,A143,kendi evi,2,vasifli,1,A192,A201,0
hesap yok,12,kritik hesap,araba(yeni),682,100-500 DM,4-7 yil,4,A92,A101,3,A123,51,A143,kendi evi,2,vasifli,1,A192,A201,0
<0 DM,36,kritik hesap,mobilya,5371,<100 DM,1-4 yil,3,A93,A103,2,A122,28,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,18,kritik hesap,radyo/TV,1582,>=1000 DM,>=7 yil,4,A93,A101,4,A123,46,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,6,simdiye odendi,radyo/TV,1346,100-500 DM,>=7 yil,2,A93,A101,4,A124,42,A141,ucretsiz,1,vasifli,2,A192,A201,0
hesap yok,10,simdiye odendi,radyo/TV,1924,<100 DM,1-4 yil,1,A93,A101,4,A122,38,A143,kendi evi,1,vasifli,1,A192,A202,0
>=200 DM,36,simdiye odendi,radyo/TV,5848,<100 DM,1-4 yil,4,A93,A101,1,A123,24,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,24,kritik hesap,araba(eski),7758,>=1000 DM,>=7 yil,2,A92,A101,4,A124,29,A143,kira,1,vasifli,1,A191,A201,0
0-200 DM,24,gecmiste gecikme,is,6967,100-500 DM,4-7 yil,4,A93,A101,4,A123,36,A143,kira,1,yonetici/uzman,1,A192,A201,0
<0 DM,12,simdiye odendi,mobilya,1282,<100 DM,1-4 yil,2,A92,A101,4,A123,20,A143,kira,1,vasifli,1,A191,A201,1
<0 DM,9,kritik hesap,tamirat,1288,100-500 DM,>=7 yil,3,A93,A103,4,A121,48,A143,kendi evi,2,vasifli,2,A191,A202,0
<0 DM,12,bu bankada odendi,yeniden egitim,339,<100 DM,>=7 yil,4,A94,A101,1,A123,45,A141,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,24,simdiye odendi,araba(yeni),3512,100-500 DM,4-7 yil,2,A93,A101,3,A123,38,A141,kendi evi,2,vasifli,1,A192,A201,0
hesap yok,6,kritik hesap,radyo/TV,1898,bilinmiyor,1-4 yil,1,A93,A101,2,A121,34,A143,kendi evi,2,vasifsiz-yerlesik,2,A191,A201,0
hesap yok,24,kritik hesap,radyo/TV,2872,100-500 DM,>=7 yil,3,A93,A101,4,A121,36,A143,kendi evi,1,vasifli,2,A192,A201,0
hesap yok,18,kritik hesap,araba(yeni),1055,<100 DM,<1 yil,4,A92,A101,1,A122,30,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,15,simdiye odendi,ev aleti,1262,500-1000 DM,4-7 yil,4,A93,A101,3,A122,36,A143,kendi evi,2,vasifli,1,A192,A201,0
0-200 DM,10,simdiye odendi,araba(yeni),7308,<100 DM,issiz,2,A93,A101,4,A124,70,A141,ucretsiz,1,yonetici/uzman,1,A192,A201,0
hesap yok,36,simdiye odendi,araba(yeni),909,500-1000 DM,>=7 yil,4,A93,A101,4,A122,36,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,6,simdiye odendi,mobilya,2978,500-1000 DM,1-4 yil,1,A93,A101,2,A123,32,A143,kendi evi,1,vasifli,1,A192,A201,0
<0 DM,18,simdiye odendi,mobilya,1131,<100 DM,issiz,4,A92,A101,2,A123,33,A143,kendi evi,1,vasifli,1,A191,A201,1
0-200 DM,11,simdiye odendi,mobilya,1577,>=1000 DM,<1 yil,4,A92,A101,1,A121,20,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,24,simdiye odendi,mobilya,3972,<100 DM,4-7 yil,2,A92,A101,4,A122,25,A143,kira,1,vasifli,1,A192,A201,0
